,variance,similarity,delta_mod,size,nodes_num,nb_communities,modularity
0,0.0,1.0,0.0,10,69,4,0.5031374376994514
1,0.0,1.0,0.0,10,69,4,0.5031374376994514
2,6.595846317971955e-07,0.9920933176901209,0.002707160529240915,10,69,4,0.5058445982286923
3,1.232595164407831e-32,1.0,0.0,10,69,4,0.5058445982286923
4,2.012340974096747e-06,0.9911259685889794,0.004728566818458901,10,69,4,0.5105731650471512
5,1.232595164407831e-32,1.0,0.0,10,69,4,0.5105731650471512
6,1.232595164407831e-32,1.0,0.0,10,69,4,0.5105731650471512
7,6.803494068275579e-06,0.9771075622885478,0.006310731829753724,10,69,4,0.516883896876905
8,1.232595164407831e-32,1.0,0.0,10,69,4,0.516883896876905
9,1.232595164407831e-32,1.0,0.0,10,69,4,0.516883896876905
10,1.232595164407831e-32,1.0,0.0,10,69,4,0.516883896876905
11,1.232595164407831e-32,1.0,0.0,10,69,4,0.516883896876905
12,1.232595164407831e-32,1.0,0.0,10,69,4,0.516883896876905
13,1.4417818983872225e-06,0.9912649089647895,0.00400247409372867,10,69,4,0.5208863709706336
14,0.0,1.0,0.0,10,69,4,0.5208863709706336
15,2.673399119870642e-06,0.9859734009907645,0.004087633116999556,10,69,4,0.5249740040876332
16,1.232595164407831e-32,1.0,0.0,10,69,4,0.5249740040876332
17,1.232595164407831e-32,1.0,0.0,10,69,4,0.5249740040876332
18,1.232595164407831e-32,1.0,0.0,10,69,4,0.5249740040876332
19,1.232595164407831e-32,1.0,0.0,10,69,4,0.5249740040876332
20,1.232595164407831e-32,1.0,0.0,10,69,4,0.5249740040876332
21,1.232595164407831e-32,1.0,0.0,10,69,4,0.5249740040876332
22,1.232595164407831e-32,1.0,0.0,10,69,4,0.5249740040876332
23,1.232595164407831e-32,1.0,0.0,10,69,4,0.5249740040876332
24,1.232595164407831e-32,1.0,0.0,10,110,4,0.5622876577657621
25,2.415929551749774e-06,0.9845116326931014,0.004975133368994911,10,110,4,0.567262791134757
26,1.232595164407831e-32,1.0,0.0,10,110,4,0.567262791134757
27,1.4476834562896432e-06,0.9888581649642074,0.004011912851132671,10,110,4,0.5712747039858896
28,1.232595164407831e-32,1.0,0.0,10,110,4,0.5712747039858896
29,1.497586487162139e-06,0.9804415116041273,0.0027161734302939555,10,110,4,0.5739908774161836
30,0.0,1.0,0.0,10,110,4,0.5739908774161836
31,0.0,1.0,0.0,10,110,4,0.5739908774161836
32,3.3966078139134485e-08,0.9885335569215707,0.0005385360493861402,10,110,4,0.5745294134655697
33,1.4156584396661788e-07,0.9943631584166502,0.0012541745579668362,10,110,4,0.5757835880235366
34,1.232595164407831e-32,1.0,0.0,10,110,4,0.5757835880235366
35,6.421489365855352e-09,0.9840388536536915,0.00019878847460563787,10,110,4,0.5759823764981422
36,2.5421766042072216e-07,0.9724465751053732,0.001460191704376168,10,110,4,0.5774425682025184
37,1.5458733438747417e-08,0.9727079433196775,0.00031083288756528216,10,110,4,0.5777534010900837
38,2.287957474151624e-08,0.9790242437273879,0.0005041998583180662,10,110,4,0.5782576009484017
39,2.0680236270000988e-07,0.9513109996431747,0.0015234425826597953,10,110,4,0.5797810435310615
40,1.232595164407831e-32,1.0,0.0,10,110,4,0.5797810435310615
41,1.1403599726730388e-06,0.9737291659377232,0.003690236955861792,10,110,4,0.5834712804869233
42,1.232595164407831e-32,1.0,0.0,10,110,4,0.5834712804869233
43,1.232595164407831e-32,1.0,0.0,10,110,4,0.5834712804869233
44,1.0301084624053142e-07,0.9945207717463357,0.0010698434269686974,10,110,4,0.584541123913892
45,1.232595164407831e-32,1.0,0.0,10,110,4,0.584541123913892
46,1.232595164407831e-32,1.0,0.0,10,110,4,0.584541123913892
47,1.232595164407831e-32,1.0,0.0,10,110,4,0.584541123913892
48,1.232595164407831e-32,1.0,0.0,10,110,4,0.584541123913892
49,1.232595164407831e-32,1.0,0.0,10,110,4,0.584541123913892
50,1.232595164407831e-32,1.0,0.0,10,110,4,0.584541123913892
51,1.232595164407831e-32,1.0,0.0,10,110,4,0.584541123913892
52,1.232595164407831e-32,1.0,0.0,10,110,4,0.584541123913892
53,1.925929944387236e-34,1.0,0.0,10,108,3,0.07716844049767886
54,2.232579804550853e-08,0.984314840225718,0.00046701828028605785,10,108,3,0.07763545877796492
55,1.6684701578510614e-07,0.9764111179164748,0.0013615637080010706,10,108,3,0.07899702248596599
56,1.925929944387236e-34,1.0,0.0,10,108,3,0.07899702248596599
57,4.988968630717941e-07,0.9763656571576462,0.0023873270187766554,10,108,3,0.08138434950474265
58,1.925929944387236e-34,1.0,0.0,10,108,3,0.08138434950474265
59,1.925929944387236e-34,1.0,0.0,10,108,3,0.08138434950474265
